,course,rooms,period,color,needed capacity,available capacity,start,end
0,103سلم,"['420', '425']",0,0,259,400,2025-04-05 09:00:00,2025-04-05 10:00:00
1,210كهر,['305'],0,0,14,200,2025-04-05 09:00:00,2025-04-05 10:00:00
2,215 هال,['304'],0,0,12,200,2025-04-05 09:00:00,2025-04-05 10:00:00
3,101حسب,['408'],0,0,35,150,2025-04-05 09:00:00,2025-04-05 10:00:00
4,433بشر,['415'],0,0,44,100,2025-04-05 09:00:00,2025-04-05 10:00:00
5,حسب461,['407'],0,0,12,150,2025-04-05 09:00:00,2025-04-05 10:00:00
6,380عال,['411'],0,0,9,100,2025-04-05 09:00:00,2025-04-05 10:00:00
7,206نظم,['203'],0,0,36,250,2025-04-05 09:00:00,2025-04-05 10:00:00
8,207نظم,['303'],0,0,47,250,2025-04-05 09:00:00,2025-04-05 10:00:00
9,302نظم,['407'],0,0,21,100,2025-04-05 09:00:00,2025-04-05 10:00:00
10,عال 339,['406'],0,0,2,40,2025-04-05 09:00:00,2025-04-05 10:00:00
11,317 هال,['405'],0,0,3,40,2025-04-05 09:00:00,2025-04-05 10:00:00
12,411نظم,['طرقة الأمين'],0,0,3,30,2025-04-05 09:00:00,2025-04-05 10:00:00
13,313 هال,['طرقة الألماني'],0,0,2,30,2025-04-05 09:00:00,2025-04-05 10:00:00
14,419 دوي,['طرقة معامل الدور الثالث'],0,0,35,50,2025-04-05 09:00:00,2025-04-05 10:00:00
15,226 دوي,['طرقة معامل الدور الرابع'],0,0,28,50,2025-04-05 09:00:00,2025-04-05 10:00:00
16,322 صيد,['طرقة الشؤون'],0,0,12,50,2025-04-05 09:00:00,2025-04-05 10:00:00
17,212 كلن,['420'],1,0,24,200,2025-04-05 10:30:00,2025-04-05 11:30:00
18,472 تمض,['425'],1,0,32,200,2025-04-05 10:30:00,2025-04-05 11:30:00
19,202 كلن,['305'],1,0,10,200,2025-04-05 10:30:00,2025-04-05 11:30:00
20,329عال,['304'],1,0,2,200,2025-04-05 10:30:00,2025-04-05 11:30:00
21,112 نجم,['408'],1,0,3,150,2025-04-05 10:30:00,2025-04-05 11:30:00
22,439 هال,['415'],1,0,3,100,2025-04-05 10:30:00,2025-04-05 11:30:00
23,حسب102,['407'],1,0,3,150,2025-04-05 10:30:00,2025-04-05 11:30:00
24,312 أشع,['411'],1,0,3,100,2025-04-05 10:30:00,2025-04-05 11:30:00
25,312 كلن,['203'],1,0,13,250,2025-04-05 10:30:00,2025-04-05 11:30:00
26,429عال,['303'],1,0,2,250,2025-04-05 10:30:00,2025-04-05 11:30:00
27,455هال,['407'],1,0,1,100,2025-04-05 10:30:00,2025-04-05 11:30:00
28,999 عال,['406'],1,0,1,40,2025-04-05 10:30:00,2025-04-05 11:30:00
29,202كهر,['405'],1,0,4,40,2025-04-05 10:30:00,2025-04-05 11:30:00
30,422 هيل,['طرقة الأمين'],1,0,9,30,2025-04-05 10:30:00,2025-04-05 11:30:00
31,204كهر,['طرقة الألماني'],1,0,1,30,2025-04-05 10:30:00,2025-04-05 11:30:00
32,145كيم,['طرقة معامل الدور الثالث'],1,0,9,50,2025-04-05 10:30:00,2025-04-05 11:30:00
